county,date,quantile,hosp_census_with_covid,icu,Rt
Alameda,2023-09-07,0.5,,,0.9673717184721694
Alameda,2023-09-07,0.04999999999999999,,,NA
Alameda,2023-09-07,0.95,,,1.0205218830324896
Alameda,2023-09-14,0.5,,,0.9385092199101022
Alameda,2023-09-14,0.04999999999999999,,,NA
Alameda,2023-09-14,0.95,,,0.9916940543592072
Alameda,2023-09-21,0.5,,,0.9202666159173436
Alameda,2023-09-21,0.04999999999999999,,,NA
Alameda,2023-09-21,0.95,,,0.9746302534856688
Alameda,2023-09-28,0.5,,,0.9097783143821084
Alameda,2023-09-28,0.04999999999999999,,,NA
Alameda,2023-09-28,0.95,,,0.9626982541843
Alameda,2023-10-05,0.5,,,0.9175010383632762
Alameda,2023-10-05,0.04999999999999999,,,NA
Alameda,2023-10-05,0.95,,,0.9732359618485728
Alameda,2023-10-12,0.5,,,0.940821234662903
Alameda,2023-10-12,0.04999999999999999,,,NA
Alameda,2023-10-12,0.95,,,0.9916377957504824
Alameda,2023-10-19,0.5,,,0.9691413175491116
Alameda,2023-10-19,0.04999999999999999,,,NA
Alameda,2023-10-19,0.95,,,1.020888327566275
Alameda,2023-10-26,0.5,,,0.9976724214575106
Alameda,2023-10-26,0.04999999999999999,,,NA
Alameda,2023-10-26,0.95,,,1.059556558548436
Alameda,2023-11-02,0.5,,,1.028508940656678
Alameda,2023-11-02,0.04999999999999999,,,NA
Alameda,2023-11-02,0.95,,,1.0878785082915337
Alameda,2023-11-09,0.5,,,1.0700994280103202
Alameda,2023-11-09,0.04999999999999999,,,NA
Alameda,2023-11-09,0.95,,,1.1449209175479145
Alameda,2023-11-16,0.5,,,1.117621182196188
Alameda,2023-11-16,0.04999999999999999,,,NA
Alameda,2023-11-16,0.95,,,1.1882887257550945
Alameda,2023-11-23,0.5,,,1.1467175146436204
Alameda,2023-11-23,0.04999999999999999,,,NA
Alameda,2023-11-23,0.95,,,1.2203469615482956
Alameda,2023-11-30,0.5,,,1.1356974786883829
Alameda,2023-11-30,0.04999999999999999,,,NA
Alameda,2023-11-30,0.95,,,1.211950212765664
Alameda,2023-12-07,0.5,,,1.1038828681552713
Alameda,2023-12-07,0.04999999999999999,,,NA
Alameda,2023-12-07,0.95,,,1.1682646658641596
Alameda,2023-12-14,0.5,,,1.078068532535449
Alameda,2023-12-14,0.04999999999999999,,,NA
Alameda,2023-12-14,0.95,,,1.1435740342479543
Alameda,2023-12-19,0.5,,,1.0521104377042
Alameda,2023-12-19,0.04999999999999999,,,NA
Alameda,2023-12-19,0.95,,,1.115513725662012
Alameda,2023-12-21,0.5,,,1.0521104377042
Alameda,2023-12-21,0.04999999999999999,,,NA
Alameda,2023-12-21,0.95,,,1.115513725662012
Alameda,2023-12-28,0.5,,,1.0222790459504345
Alameda,2023-12-28,0.04999999999999999,,,NA
Alameda,2023-12-28,0.95,,,1.0767554651973372
Alameda,2024-01-04,0.5,,,0.9732051818545604
Alameda,2024-01-04,0.04999999999999999,,,NA
Alameda,2024-01-04,0.95,,,1.0271852784881814
Alameda,2024-01-11,0.5,,,0.9270965537801314
Alameda,2024-01-11,0.04999999999999999,,,NA
Alameda,2024-01-11,0.95,,,0.9755928555291274
Alameda,2024-01-18,0.5,,,0.9042793161737074
Alameda,2024-01-18,0.04999999999999999,,,NA
Alameda,2024-01-18,0.95,,,0.9535132456115823
Alameda,2024-01-25,0.5,,,0.9021437958280822
Alameda,2024-01-25,0.04999999999999999,,,NA
Alameda,2024-01-25,0.95,,,0.9549355521367192
Alameda,2024-02-01,0.5,,,0.904141022739237
Alameda,2024-02-01,0.04999999999999999,,,NA
Alameda,2024-02-01,0.95,,,0.9669623946992574
Alameda,2024-02-08,0.5,,,0.908221238644755
Alameda,2024-02-08,0.04999999999999999,,,NA
Alameda,2024-02-08,0.95,,,0.9634514976257748
Alameda,2024-02-09,0.5,,,0.9042652879515244
Alameda,2024-02-09,0.04999999999999999,,,NA
Alameda,2024-02-09,0.95,,,0.9563390553143762
Alameda,2024-02-15,0.5,,,0.9042652879515244
Alameda,2024-02-15,0.04999999999999999,,,NA
Alameda,2024-02-15,0.95,,,0.9563390553143762
Alameda,2024-02-22,0.5,,,0.9036940563184742
Alameda,2024-02-22,0.04999999999999999,,,NA
Alameda,2024-02-22,0.95,,,0.9646221408109906
